Engine rpm;Lub oil pressure;Fuel pressure;Coolant pressure;lub oil temp;Coolant temp;Engine Condition
700;2.493.591.821;1.179.092.738;3.178.980.794;8.414.416.293;816.321.865;1
876;2.941.605.932;1.619.386.556;2.464.503.704;7.764.093.415;824.457.245;0
520;2.961.745.579;6.553.146.911;1.064.346.764;7.775.226.574;7.964.577.667;1
473;3.707.834.743;1.951.017.166;3.727.455.362;7.412.990.715;7.177.462.869;1
619;5.672.918.584;1.573.887.141;2.052.251.454;7.839.698.883;8.700.022.538;0
1221;3.989.225.938;6.679.230.535;2.214.250.345;7.640.115.203;7.566.981.801;0
716;3.568.895.727;5.312.266.428;246.106.708;8.364.658.857;7.979.241.081;1
729;3.845.165.584;1.019.112.589;2.362.998.355;779.212.023;7.167.176.056;1
845;4.877.239.363;3.638.269.304;3.525.604.418;7.630.162.614;7.049.602.446;0
824;3.741.228.333;7.626.214.049;1.301.032.069;7.706.652.006;8.514.329.731;0
1230;3.429.446.187;1.083.912.838;1.830.218.693;7.740.544.243;8.591.987.186;0
538;4.259.996.635;7.694.207.979;2.083.630.083;8.018.345.308;8.118.079.834;1
1187;2.592.501.844;6.890.093.327;1.833.391.079;7.810.229.386;8.496.686.866;1
609;3.749.857.195;1.009.296.246;2.997.150.736;7.728.064.321;7.557.779.077;1
606;2.272.331.239;5.489.462.544;1.913.766.899;7.517.064.423;7.772.570.657;1
382;2.162.553.685;777.492.339;2.727.348.376;7.700.087.426;7.162.384.988;1
560;2.827.450.817;1.173.054.823;1.832.205.746;7.718.277.677;7.076.525.408;1
767;4.596.903.025;7.496.561.998;1.432.776.233;8.492.414.335;8.026.551.481;0
838;3.377.151.875;4.159.451.141;2.141.784.028;7.725.819.595;8.878.397.112;1
495;3.378.216.302;7.376.275.793;3.090.756.713;7.726.403.305;7.380.702.538;1
1341;462.633.279;6.188.480.205;1.503.297.167;7.692.653.268;7.888.448.943;0
1249;2.461.325.383;6.245.944.552;4.145.416.104;7.683.845.869;7.257.039.096;1
699;4.369.701.173;7.332.602.592;1.312.393.529;7.691.254.155;8.711.526.083;0
436;4.254.678.789;743.832.958;2.342.593.832;7.781.353.697;8.239.599.504;1
885;1.887.027.852;6.352.865.126;2.356.187.698;7.722.452.173;8.145.093.441;1
583;3.397.936.191;6.146.661.107;1.627.376.493;7.622.426.128;7.061.435.969;1
